Date,Open,High,Low,Close,Adj Close,Volume
2017-12-04,46.250000,46.340000,45.750000,45.779999,45.779999,992800
2017-12-05,45.759998,46.200001,45.730000,45.869999,45.869999,554900
2017-12-06,44.990002,45.009998,44.650002,44.910000,44.910000,970700
2017-12-07,45.209999,45.849998,45.209999,45.750000,45.750000,809200
2017-12-08,45.709999,45.860001,45.540001,45.790001,45.790001,622700
2017-12-11,44.650002,44.919998,44.630001,44.900002,44.900002,950400
2017-12-12,44.500000,44.730000,44.369999,44.630001,44.630001,913300
2017-12-13,44.619999,44.720001,44.529999,44.650002,44.650002,734200
2017-12-14,44.650002,44.740002,44.450001,44.450001,44.450001,517900
2017-12-15,44.700001,44.990002,44.560001,44.840000,44.840000,738100
2017-12-18,45.889999,45.980000,45.660000,45.730000,45.730000,1043000
2017-12-19,45.459999,45.549999,45.200001,45.340000,45.340000,748200
2017-12-20,45.389999,45.389999,44.889999,45.029999,45.029999,447900
2017-12-21,45.549999,45.660000,45.360001,45.410000,45.410000,642000
2017-12-22,45.730000,45.779999,45.439999,45.680000,45.680000,453300
2017-12-26,45.349998,45.459999,45.130001,45.209999,45.209999,583900
2017-12-27,45.200001,45.270000,45.070000,45.259998,45.259998,386100
2017-12-28,45.299999,45.419998,45.169998,45.290001,45.290001,541300
2017-12-29,45.290001,45.290001,44.950001,44.950001,44.950001,435500
2018-01-02,45.439999,45.810001,45.240002,45.790001,45.790001,844200
2018-01-03,45.930000,46.360001,45.900002,46.299999,46.299999,612500
2018-01-04,46.810001,47.259998,46.799999,47.250000,47.250000,770600
2018-01-05,48.180000,48.790001,48.169998,48.700001,48.700001,1356100
2018-01-08,48.799999,49.009998,48.730000,49.000000,49.000000,618900
2018-01-09,49.779999,49.799999,49.419998,49.549999,49.549999,1057300
2018-01-10,49.740002,49.970001,49.470001,49.779999,49.779999,1051300
2018-01-11,49.880001,50.320000,49.820000,50.279999,50.279999,860300
2018-01-12,49.959999,50.820000,49.730000,50.029999,50.029999,1043400
2018-01-16,49.799999,50.410000,48.799999,48.950001,48.950001,1388400
2018-01-17,49.439999,49.970001,49.160000,49.820000,49.820000,784500
2018-01-18,49.349998,49.349998,49.020000,49.169998,49.169998,570600
2018-01-19,49.880001,50.020000,49.730000,49.889999,49.889999,522100
2018-01-22,50.150002,50.810001,50.099998,50.799999,50.799999,800100
2018-01-23,51.570000,51.939999,49.889999,50.419998,50.419998,2431800
2018-01-24,49.900002,49.900002,48.930000,49.150002,49.150002,1742500
2018-01-25,48.500000,49.119999,48.189999,48.400002,48.400002,1217600
2018-01-26,48.770000,49.500000,48.730000,49.480000,49.480000,1112900
2018-01-29,48.599998,48.619999,47.560001,47.869999,47.869999,3080600
2018-01-30,47.540001,47.759998,46.970001,47.349998,47.349998,910800
2018-01-31,47.930000,48.130001,47.740002,47.939999,47.939999,852100
2018-02-01,48.580002,49.639999,48.490002,49.150002,49.150002,1810100
2018-02-02,53.000000,53.910000,51.570000,51.990002,51.990002,3954200
2018-02-05,50.680000,50.689999,48.310001,49.000000,49.000000,2596400
2018-02-06,49.009998,51.180000,48.799999,50.770000,50.770000,2667400
2018-02-07,50.500000,50.950001,49.930000,50.119999,50.119999,1131700
2018-02-08,48.570000,48.759998,46.959999,46.959999,46.959999,2578100
2018-02-09,47.450001,47.779999,45.330002,47.049999,47.049999,2103600
2018-02-12,47.720001,48.490002,47.270000,48.270000,48.270000,1212700
2018-02-13,47.080002,47.340000,46.799999,47.220001,47.220001,1309200
2018-02-14,47.150002,48.689999,47.119999,48.590000,48.590000,1343400
2018-02-15,48.930000,48.930000,48.029999,48.810001,48.810001,623600
2018-02-16,49.299999,49.740002,49.230000,49.549999,49.549999,882400
2018-02-20,49.400002,49.889999,49.299999,49.410000,49.410000,698600
2018-02-21,50.049999,50.540001,49.490002,49.500000,49.500000,918200
2018-02-22,50.000000,50.250000,49.669998,49.849998,49.849998,885700
2018-02-23,50.160000,50.270000,49.619999,50.230000,50.230000,1437700
2018-02-26,50.689999,50.990002,50.529999,50.919998,50.919998,877900
2018-02-27,50.799999,50.919998,50.220001,50.270000,50.270000,859400
2018-02-28,50.830002,51.000000,50.439999,50.459999,50.459999,863500
2018-03-01,49.799999,49.939999,48.320000,48.720001,48.720001,1187500
2018-03-02,48.660000,49.730000,48.439999,49.680000,49.680000,843200
2018-03-05,49.349998,50.720001,49.349998,50.529999,50.529999,1108300
2018-03-06,50.169998,50.490002,50.049999,50.160000,50.160000,1084200
2018-03-07,50.299999,51.090000,50.250000,50.889999,50.889999,1230900
2018-03-08,51.169998,51.400002,51.040001,51.279999,51.279999,801500
2018-03-09,51.169998,51.439999,50.860001,51.400002,51.400002,1289100
